url,label
https://homesuiteapps.wixstudio.com/web-io,phishing
https://desktoplive-started.wixstudio.com/desktop,phishing
https://l.ead.me/bgZeIY,phishing
https://q-r.to/bgc7RP,phishing
https://linkbgbz.firebaseapp.com/,phishing
https://wordpress-1610508-6333798.cloudwaysapps.com/DFRT/auth/log.php,phishing
https://l.ead.me/bfIlPe,phishing
https://com-live.framer.media/live-wallet,phishing
https://meine-sicherheitshinweis.firebaseapp.com/,phishing
https://lumen-app-backend.web.app/,phishing
https://signon1-mail-posteo-authid-oauth2onepass-ou3bvgrrhrw0qd1.weebly.com/,phishing
https://qrco.de/bgaQEj,phishing
https://talentmatchrecruitment.co.uk/,phishing
https://qrco.de/bgZuDi,phishing
https://docs.google.com/presentation/d/e/2PACX-1vRCHGr3B97w4KC5083hLRnapjM1Srw96jZzj0MonEOO8LdPW5sgeMf8KX92ZoSW-cCheHZq6rYrMLqy/pub?start=false&amp;loop=false&amp;delayms=3000,phishing
https://stackexchange.com/,benign
https://infospace.com/,benign
https://hessenschau.de/,benign
https://ca33ands.shop/,benign
https://zee7meets.shop/,benign
